City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
315,Kaeo,NZ,66.0,overcast clouds,-35.1,173.7833,Bushido Lodge
316,Corpus Christi,US,63.0,overcast clouds,27.8006,-97.3964,Holiday Inn Corpus Christi Downtown Marina
318,Moree,AU,62.6,clear sky,-29.4667,149.85,Molika Springs Motel
321,Dzaoudzi,YT,82.4,broken clouds,-12.7887,45.2699,Le Rocher
322,Ambilobe,MG,72.32,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
324,Gweta,BW,60.46,clear sky,-20.1833,25.2333,Gweta Lodge
325,Ballina,AU,68.0,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
328,Padang,ID,71.6,few clouds,-0.9492,100.3543,Mercure Padang
329,Ciudad Dario,NI,75.2,broken clouds,12.7314,-86.124,Salon De Eventos
330,East London,ZA,62.67,few clouds,-33.0153,27.9116,Tu Casa
333,Cravo Norte,CO,82.98,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
334,Chicama,PE,66.2,broken clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
336,Asfi,MA,60.87,clear sky,32.2994,-9.2372,Hôtel Abda
339,Saldanha,ZA,66.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
340,Guatire,VE,84.2,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
341,Hualmay,PE,68.0,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
344,Champerico,GT,86.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
345,Buraydah,SA,68.0,clear sky,26.326,43.975,فندق راحة السلام
346,Sakhipur,BD,80.6,haze,24.3,90.1833,জুনিয়র এফ.সি-ক্লাব-২
347,Parati,BR,70.38,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
350,Taphan Hin,TH,77.0,broken clouds,16.2209,100.4198,Rommakham Homestay
353,Macau,MO,77.0,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
355,Boffa,GN,78.48,overcast clouds,10.1667,-14.0333,Hôtel Niara Belly
356,Coahuayana,MX,78.8,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
362,Maua,BR,66.2,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
363,Moose Jaw,CA,62.6,broken clouds,50.4001,-105.5344,Temple Gardens Hotel & Spa
364,San Cristobal,VE,68.74,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
365,Codrington,AU,61.99,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
366,Katsuura,JP,66.0,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
368,Gualeguay,AR,65.21,overcast clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio
369,Soe,ID,75.92,overcast clouds,-9.8607,124.284,Dena Hotel
370,Dargaville,NZ,62.46,overcast clouds,-35.9333,173.8833,Parkview Motel
371,Vredendal,ZA,78.4,clear sky,-31.6683,18.5012,Tharrakamma Guest House
374,Glen Allen,US,60.8,overcast clouds,37.666,-77.5064,Courtyard by Marriott Richmond North/Glen Allen
375,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
380,Linguere,SN,89.6,clear sky,15.3953,-15.1193,Hôtel Amadou Seck
381,Esna,EG,77.31,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
384,Ambon,ID,86.0,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
385,Santiago De Cao,PE,66.2,broken clouds,-7.9589,-79.2392,Villa Konecta - Alojamiento Familiar
388,Sao Pedro Do Sul,BR,69.8,few clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
390,Lethem,GY,79.52,scattered clouds,3.3803,-59.7968,Savannah Inn
391,Bima,ID,81.99,broken clouds,-8.4667,118.7167,Lambitu Hotel
392,Manzanillo,CU,79.45,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
396,Sao Miguel Do Araguaia,BR,73.08,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
401,Tual,ID,81.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
402,Bhalki,IN,85.64,overcast clouds,18.0333,77.2167,Sagar Home
405,Nouakchott,MR,71.6,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
407,Acacoyagua,MX,86.0,broken clouds,15.35,-92.65,Finca TAJUKO
408,Alyangula,AU,86.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
410,Zarate,AR,66.99,scattered clouds,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
411,Port Blair,IN,82.47,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
413,Nouadhibou,MR,65.05,clear sky,20.931,-17.0347,El Medina
416,Osoyoos,CA,78.8,clear sky,49.0331,-119.4524,Watermark Beach Resort Hotel
417,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
422,Sakakah,SA,69.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
423,Veraval,IN,77.54,clear sky,20.9,70.3667,Lords Inn Somnath
