City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Suzun,RU,2021-04-16 20:41:17,53.7841,82.3116,34.29,94,100,9.37
176,Port-Gentil,GA,2021-04-16 20:42:40,-0.7193,8.7815,80.6,94,75,3.44
177,Kloulklubed,PW,2021-04-16 20:42:40,7.0419,134.2556,75.2,94,90,16.11
178,Vegreville,CA,2021-04-16 20:42:40,53.5001,-112.0518,64.4,15,20,8.05
179,Sibu,MY,2021-04-16 20:42:41,2.3,111.8167,75.2,100,20,2.3
180,Kahului,US,2021-04-16 20:42:41,20.8947,-156.47,77.0,65,20,8.05
181,Tommot,RU,2021-04-16 20:42:42,58.9564,126.2925,34.29,69,100,7.61
182,Lompoc,US,2021-04-16 20:42:42,34.6391,-120.4579,60.01,67,2,18.41
183,Pandan,PH,2021-04-16 20:42:42,14.0453,124.1694,78.87,87,100,10.92
184,Pamplonita,CO,2021-04-16 20:42:43,7.437,-72.638,87.8,62,40,10.36
185,Yulara,AU,2021-04-16 20:42:43,-25.2406,130.9889,53.6,66,0,8.05
186,Kyaikkami,MM,2021-04-16 20:42:43,16.08,97.5675,79.56,80,89,3.44
187,Belaya Gora,RU,2021-04-16 20:42:44,68.5333,146.4167,1.89,89,47,6.55
188,Martinsville,US,2021-04-16 20:42:44,36.6915,-79.8725,69.01,27,1,8.05
189,Stokmarknes,NO,2021-04-16 20:42:44,68.5646,14.9108,41.0,93,75,4.61
190,Coalinga,US,2021-04-16 20:42:45,36.1397,-120.3602,75.99,24,0,7.49
191,Hun,LY,2021-04-16 20:42:45,29.1268,15.9477,89.89,11,31,9.13
192,Tuburan,PH,2021-04-16 20:42:45,6.6439,122.2736,81.43,79,100,9.19
193,San Vicente,AR,2021-04-16 20:42:46,-26.6167,-54.1333,66.13,88,100,4.0
194,Chapais,CA,2021-04-16 20:42:46,49.7834,-74.8492,55.4,28,40,9.22
195,Lielvarde,LV,2021-04-16 20:42:46,56.7207,24.8074,53.6,43,0,9.22
196,Cozumel,MX,2021-04-16 20:42:47,20.5083,-86.9458,87.8,79,20,9.22
197,Biak,ID,2021-04-16 20:38:41,-0.9131,122.8766,74.86,85,96,4.56
198,Te Anau,NZ,2021-04-16 20:42:47,-45.4167,167.7167,42.42,87,29,0.54
199,Pevek,RU,2021-04-16 20:33:13,69.7008,170.3133,20.55,94,100,8.66
200,Kribi,CM,2021-04-16 20:42:48,2.95,9.9167,79.23,84,96,2.04
201,Roverud,NO,2021-04-16 20:42:48,60.2521,12.055,41.0,60,96,3.44
202,Teterow,DE,2021-04-16 20:42:49,53.7833,12.5667,44.01,61,75,6.91
203,Baykit,RU,2021-04-16 20:42:49,61.67,96.37,1.54,87,100,10.16
204,Flinders,AU,2021-04-16 20:42:49,-34.5833,150.8552,55.0,84,100,1.01
205,Limon,CR,2021-04-16 20:42:50,10.0,-83.0333,81.1,76,100,3.27
206,Asau,RO,2021-04-16 20:33:01,46.4333,26.4,39.99,48,3,5.91
207,Fort Nelson,CA,2021-04-16 20:42:50,58.8053,-122.7002,59.0,31,40,2.93
208,Diego De Almagro,CL,2021-04-16 20:42:50,-26.3667,-70.05,73.96,26,0,8.9
209,Sabang,ID,2021-04-16 20:42:51,5.8933,95.3214,83.37,69,100,16.82
210,Vostok,RU,2021-04-16 20:42:51,46.4856,135.8833,34.2,94,96,2.04
211,Naze,JP,2021-04-16 20:42:51,28.3667,129.4833,67.5,86,97,16.11
212,Bonfim,BR,2021-04-16 20:42:52,3.0833,-59.95,82.76,64,94,5.97
213,Nome,US,2021-04-16 20:42:52,64.5011,-165.4064,26.01,86,90,8.05
214,Uyuni,BO,2021-04-16 20:42:52,-20.4597,-66.825,58.8,9,0,9.35
215,Narsaq,GL,2021-04-16 20:42:53,60.9167,-46.05,23.0,30,0,32.21
216,Vila Velha,BR,2021-04-16 20:39:51,-20.3297,-40.2925,77.0,73,0,11.5
217,Meulaboh,ID,2021-04-16 20:42:53,4.1363,96.1285,75.88,89,100,6.06
218,Andros Town,BS,2021-04-16 20:42:54,24.7,-77.7667,80.6,61,20,9.22
219,Tasiilaq,GL,2021-04-16 20:33:05,65.6145,-37.6368,26.6,93,90,31.07
220,Komsomolskiy,UZ,2021-04-16 20:42:54,40.4272,71.7189,59.0,55,15,4.61
221,Nisia Floresta,BR,2021-04-16 20:42:54,-6.0911,-35.2086,84.2,74,40,12.66
222,Richards Bay,ZA,2021-04-16 20:42:55,-28.783,32.0377,66.11,62,95,10.27
223,Upernavik,GL,2021-04-16 20:38:29,72.7868,-56.1549,-2.16,85,100,8.57
224,Ylojarvi,FI,2021-04-16 20:42:55,61.5563,23.5961,39.2,52,0,4.61
225,Husavik,IS,2021-04-16 20:39:15,66.0449,-17.3389,44.6,49,40,20.71
226,Bhatkal,IN,2021-04-16 20:42:56,13.9667,74.5667,82.78,75,96,3.78
227,Najran,SA,2021-04-16 20:42:10,17.4924,44.1277,77.0,23,40,11.5
228,Gigmoto,PH,2021-04-16 20:42:56,13.7796,124.39,78.78,87,100,10.16
229,Rurrenabaque,BO,2021-04-16 20:42:57,-14.4413,-67.5278,89.6,79,40,3.42
230,Isangel,VU,2021-04-16 20:42:57,-19.55,169.2667,80.02,82,73,9.86
