City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
183,Murgab,TM,37.4966,61.9714,59.0,55,0,4.61,clear sky
184,Port Alfred,ZA,-33.5906,26.891,65.59,51,6,10.87,clear sky
185,Ponta Do Sol,PT,32.6667,-17.1,57.0,71,70,1.99,broken clouds
186,Junagarh,IN,19.8667,82.9333,81.21,51,1,3.85,clear sky
187,Los Llanos De Aridane,ES,28.6585,-17.9182,68.0,68,75,13.8,broken clouds
188,Airai,TL,-8.9266,125.4092,70.83,58,58,3.0,broken clouds
189,Itarema,BR,-2.9248,-39.9167,77.95,85,47,9.91,scattered clouds
190,Talnakh,RU,69.4865,88.3972,-15.74,93,50,0.85,scattered clouds
191,Phek,IN,25.6667,94.5,56.37,78,13,1.39,few clouds
192,Sim,RU,54.993,57.6982,35.69,79,0,2.19,clear sky
193,Saucillo,MX,28.0167,-105.2833,79.92,14,8,5.93,clear sky
194,Gazi,GR,35.3253,25.0669,75.99,82,40,4.61,scattered clouds
195,Mogadishu,SO,2.0371,45.3438,82.72,72,19,9.19,few clouds
196,Tautira,PF,-17.7333,-149.15,87.8,66,20,11.5,few clouds
197,Maningrida,AU,-12.0667,134.2667,84.09,57,100,14.45,overcast clouds
198,Klaksvik,FO,62.2266,-6.589,46.4,87,100,29.93,overcast clouds
199,Aksarayskiy,RU,46.7924,48.0119,55.4,71,0,11.18,clear sky
200,Snasa,NO,64.2457,12.3778,34.09,87,4,4.23,clear sky
201,Namibe,AO,-15.1961,12.1522,82.15,65,0,1.74,clear sky
202,Whitehorse,CA,60.7161,-135.0538,55.4,28,1,5.75,clear sky
203,Buritis,BR,-15.6178,-46.4233,69.69,59,58,1.52,broken clouds
204,Lompoc,US,34.6391,-120.4579,57.2,72,10,12.66,clear sky
205,Khatanga,RU,71.9667,102.5,-0.09,92,100,13.13,overcast clouds
206,Alofi,NU,-19.0595,-169.9187,82.4,69,7,6.91,clear sky
207,Vyshneve,UA,50.3891,30.3705,41.0,100,90,4.47,fog
208,Constitucion,CL,-35.3333,-72.4167,55.8,87,100,3.98,overcast clouds
209,Half Moon Bay,US,37.4636,-122.4286,60.8,87,90,12.66,mist
210,Trofors,NO,65.5333,13.4063,35.6,93,83,3.44,broken clouds
211,College,US,64.8569,-147.8028,53.6,37,1,8.05,clear sky
212,Salalah,OM,17.0151,54.0924,77.0,50,0,4.61,clear sky
213,Ugoofaaru,MV,5.6667,73.0,83.44,72,78,8.88,broken clouds
214,Hithadhoo,MV,-0.6,73.0833,81.91,63,99,4.29,overcast clouds
215,Ryotsu,JP,38.0833,138.4333,48.2,87,75,21.85,broken clouds
216,Garmsar,IR,35.2182,52.3409,66.96,24,98,7.85,overcast clouds
217,Eregli,TR,37.5133,34.0467,62.28,40,100,5.21,overcast clouds
218,Castro,BR,-24.7911,-50.0119,57.67,94,10,2.75,clear sky
219,Ayan,RU,56.45,138.1667,26.74,91,100,4.05,overcast clouds
220,Caravelas,BR,-17.7125,-39.2481,73.78,78,77,5.99,broken clouds
221,Brae,GB,60.3964,-1.353,42.8,75,1,18.41,clear sky
222,Bethanien,NA,-26.502,17.1583,69.58,39,9,4.9,clear sky
223,Muhos,FI,64.808,25.9931,30.2,80,0,2.3,clear sky
224,Hohhot,CN,40.8106,111.6522,44.6,33,0,6.71,clear sky
225,Bilibino,RU,68.0546,166.4372,24.15,70,3,5.99,clear sky
226,Catanzaro,IT,38.8908,16.5987,51.8,93,90,4.61,overcast clouds
227,Beira,MZ,-19.8436,34.8389,71.6,78,75,9.66,broken clouds
228,Gilbues,BR,-9.8317,-45.3439,71.44,82,94,1.5,overcast clouds
229,Korla,CN,41.7597,86.1469,62.38,22,99,11.41,overcast clouds
230,Nabire,ID,-3.3667,135.4833,80.35,82,88,0.87,overcast clouds
231,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.2,37,100,8.95,overcast clouds
232,Cukai,MY,4.25,103.4167,75.2,100,20,3.15,few clouds
233,Qaanaaq,GL,77.484,-69.3632,-1.84,97,100,6.35,overcast clouds
234,San Ramon,US,37.7799,-121.978,82.4,9,1,5.75,clear sky
235,Demidov,RU,55.2706,31.515,43.83,81,76,9.13,broken clouds
236,Laurel,US,39.0993,-76.8483,54.0,66,1,3.91,clear sky
237,Madimba,TZ,-10.4,40.3333,75.2,88,40,24.16,scattered clouds
238,Aden,YE,12.7794,45.0367,80.37,70,7,17.85,clear sky
239,Kruisfontein,ZA,-34.0033,24.7314,62.8,27,0,5.99,clear sky
240,Lodwar,KE,3.1191,35.5973,83.59,51,100,12.24,overcast clouds
241,Necochea,AR,-38.5473,-58.7368,64.99,91,42,4.0,scattered clouds
242,Sinnamary,GF,5.3833,-52.95,78.93,76,65,14.29,broken clouds
243,Sompeta,IN,18.9333,84.6,80.1,82,2,9.24,clear sky
244,Port Hardy,CA,50.6996,-127.4199,69.8,37,1,10.36,clear sky
245,Yar-Sale,RU,66.8333,70.8333,-7.06,98,29,9.82,scattered clouds
246,Nanortalik,GL,60.1432,-45.2371,25.45,56,0,27.87,clear sky
247,Phangnga,TH,8.4509,98.5298,84.0,100,20,1.45,few clouds
248,Fortuna,US,40.5982,-124.1573,59.0,82,1,10.36,clear sky
249,Tasiilaq,GL,65.6145,-37.6368,23.0,86,90,2.51,light snow
250,Muravlenko,RU,63.7898,74.523,-7.37,97,16,10.29,few clouds
251,Lata,PT,40.1629,-8.3327,57.0,82,100,1.99,overcast clouds
252,Del Rio,US,29.3627,-100.8968,68.0,37,90,11.5,overcast clouds
253,Lavrentiya,RU,65.5833,-171.0,31.93,87,59,10.2,broken clouds
254,San Carlos De Bariloche,AR,-41.1456,-71.3082,59.0,38,75,10.36,broken clouds
255,Bell Ville,AR,-32.6259,-62.6887,69.01,84,0,7.0,clear sky
256,Ancud,CL,-41.8697,-73.8203,53.6,94,100,9.22,light rain
257,Copiapo,CL,-27.3667,-70.3333,59.0,82,90,8.05,overcast clouds
258,Makasar,ID,-5.14,119.4221,78.8,89,20,2.3,few clouds
259,Solnechnyy,RU,50.7214,136.6319,45.66,69,8,3.06,clear sky
260,Nome,US,64.5011,-165.4064,33.8,75,1,9.22,clear sky
261,Sobolevo,RU,54.4299,31.8996,45.27,84,100,13.04,overcast clouds
262,Coria,ES,39.9879,-6.5377,45.82,57,7,4.03,clear sky
263,Broken Hill,AU,-31.95,141.4333,59.0,58,0,12.66,clear sky
264,Buala,SB,-8.145,159.5921,85.86,67,97,6.33,overcast clouds
265,Bakchar,RU,57.0186,82.0711,31.59,90,100,10.29,light snow
266,Halifax,CA,44.6453,-63.5724,39.99,100,100,12.66,moderate rain
267,Yulara,AU,-25.2406,130.9889,66.2,34,0,16.11,clear sky
268,Krasnogorodsk,RU,56.8357,28.2822,44.49,84,83,7.49,broken clouds
269,Flin Flon,CA,54.7682,-101.865,42.8,45,90,11.5,overcast clouds
270,San Jose,US,37.3394,-121.895,73.99,43,1,13.8,clear sky
271,Khani,GE,41.9563,42.9566,59.0,82,90,10.36,overcast clouds
272,Loubomo,CG,-4.1997,12.6739,72.41,96,100,2.73,overcast clouds
273,Anshun,CN,26.25,105.9333,53.44,97,100,1.25,overcast clouds
274,Grindavik,IS,63.8424,-22.4338,35.6,80,75,21.85,light rain
275,Kuching,MY,1.55,110.3333,73.4,100,40,5.06,light rain
276,Bria,CF,6.5423,21.9863,73.67,66,100,2.73,overcast clouds
277,Alice Town,BS,25.7167,-79.3,78.73,76,6,15.3,clear sky
278,Amahai,ID,-3.3333,128.9167,86.0,85,100,1.01,light rain
279,Batagay-Alyta,RU,67.8006,130.4114,19.18,88,100,2.39,light snow
280,Shihezi,CN,44.3,86.0333,59.58,51,92,3.38,overcast clouds
281,Mehamn,NO,71.0357,27.8492,34.56,81,68,11.39,broken clouds
282,Ostersund,SE,63.1792,14.6357,35.6,69,19,4.61,few clouds
283,Nampula,MZ,-15.1165,39.2666,66.2,88,40,8.05,scattered clouds
284,Vostok,RU,46.4856,135.8833,46.94,41,0,5.61,clear sky
285,San Felipe,VE,10.3399,-68.7425,73.54,92,84,4.43,broken clouds
286,Kiruna,SE,67.8557,20.2251,23.0,86,6,5.75,clear sky
287,Paracuru,BR,-3.41,-39.0306,81.0,76,22,3.0,few clouds
288,Yeppoon,AU,-23.1333,150.7333,77.0,53,0,4.61,clear sky
289,Husavik,IS,66.0449,-17.3389,37.4,100,75,4.61,light rain
290,Lontzen,BE,50.6813,6.0071,43.0,87,71,2.57,broken clouds
291,Erenhot,CN,43.6475,111.9767,51.53,18,0,19.46,clear sky
292,Khawhai,IN,23.3667,93.1167,63.28,53,0,1.57,clear sky
293,Fukue,JP,32.6881,128.8419,55.4,50,40,19.57,scattered clouds
294,Chapais,CA,49.7834,-74.8492,46.4,46,75,3.44,broken clouds
295,Stodolishche,RU,54.1859,32.6492,46.06,84,96,13.6,overcast clouds
296,Westerland,DE,54.9079,8.3033,42.8,81,75,5.75,broken clouds
297,Omsukchan,RU,62.5333,155.8,30.0,65,45,13.31,scattered clouds
298,Cabo San Lucas,MX,22.8909,-109.9124,80.6,34,1,4.61,clear sky
299,Lorengau,PG,-2.0226,147.2712,83.7,69,94,8.99,overcast clouds
300,Saint Anthony,US,45.0205,-93.218,55.4,33,90,10.36,overcast clouds
301,Sibolga,ID,1.7427,98.7792,79.14,75,95,1.86,overcast clouds
302,Rocha,UY,-34.4833,-54.3333,58.95,94,85,3.56,overcast clouds
303,Vestmanna,FO,62.1564,-7.1664,46.4,87,100,29.93,overcast clouds
304,Suamico,US,44.6319,-88.0393,55.4,33,1,6.91,clear sky
305,Souillac,MU,-20.5167,57.5167,75.2,94,75,5.75,light rain
306,Ban Nahin,LA,18.2418,104.2122,78.19,80,95,0.96,overcast clouds
307,Inuvik,CA,68.3499,-133.7218,46.4,42,100,9.22,overcast clouds
308,Cairns,AU,-16.9167,145.7667,84.99,69,75,16.11,broken clouds
309,Sao Joao Do Paraiso,BR,-15.3136,-42.0144,71.26,58,100,5.23,overcast clouds
310,Villa Bruzual,VE,9.3328,-69.1208,82.72,56,97,3.49,overcast clouds
311,Mandalgovi,MN,45.7625,106.2708,49.87,14,20,16.58,few clouds
312,Chipinge,ZW,-20.1883,32.6236,50.67,91,100,4.68,overcast clouds
313,Pontes E Lacerda,BR,-15.2261,-59.3353,74.08,87,19,2.75,few clouds
314,Ajdabiya,LY,30.7554,20.2263,75.54,35,99,9.4,overcast clouds
315,Kaeo,NZ,-35.1,173.7833,66.0,59,98,4.0,overcast clouds
316,Corpus Christi,US,27.8006,-97.3964,63.0,67,90,16.11,overcast clouds
317,Qasigiannguit,GL,68.8193,-51.1922,8.6,66,90,16.11,overcast clouds
318,Moree,AU,-29.4667,149.85,62.6,67,0,9.22,clear sky
319,Atlantic City,US,39.3643,-74.4229,52.0,62,90,4.61,overcast clouds
320,Sokolac,BA,43.9397,18.8017,39.2,93,90,2.3,overcast clouds
321,Dzaoudzi,YT,-12.7887,45.2699,82.4,78,75,17.27,broken clouds
322,Ambilobe,MG,-13.2,49.05,72.32,96,71,3.69,broken clouds
323,Taksimo,RU,56.3444,114.8794,28.85,54,100,9.31,overcast clouds
324,Gweta,BW,-20.1833,25.2333,60.46,61,0,12.48,clear sky
325,Ballina,AU,-28.8667,153.5667,68.0,68,90,12.66,overcast clouds
326,Colac,AU,-38.3333,143.5833,55.99,1,96,3.0,overcast clouds
327,Vanavara,RU,60.34,102.2797,17.67,74,84,7.29,broken clouds
328,Padang,ID,-0.9492,100.3543,71.6,100,20,2.3,few clouds
329,Ciudad Dario,NI,12.7314,-86.124,75.2,73,75,1.54,broken clouds
330,East London,ZA,-33.0153,27.9116,62.67,54,11,9.17,few clouds
331,Dali,CN,25.7,100.1833,58.73,68,45,3.98,scattered clouds
332,Shubarkuduk,KZ,49.1447,56.4872,49.5,85,9,7.34,clear sky
333,Cravo Norte,CO,6.3017,-70.2041,82.98,66,100,3.56,overcast clouds
334,Chicama,PE,-7.8447,-79.1469,66.2,88,75,9.22,broken clouds
335,Barsovo,RU,61.1667,73.1667,8.6,72,0,6.71,clear sky
336,Asfi,MA,32.2994,-9.2372,60.87,88,2,10.74,clear sky
337,Atyrau,KZ,47.1167,51.8833,59.0,58,0,13.42,clear sky
338,Kristiansund,NO,63.1115,7.732,39.2,56,0,5.75,clear sky
339,Saldanha,ZA,-33.0117,17.9442,66.2,34,0,8.99,clear sky
340,Guatire,VE,10.4762,-66.5427,84.2,74,40,4.61,scattered clouds
341,Hualmay,PE,-11.0964,-77.6139,68.0,87,74,7.25,broken clouds
342,Laives,IT,46.4228,11.3348,46.0,100,0,3.44,clear sky
343,Mastic Beach,US,40.7668,-72.8521,51.8,50,90,4.61,overcast clouds
344,Champerico,GT,14.3,-91.9167,86.0,66,75,9.22,broken clouds
345,Buraydah,SA,26.326,43.975,68.0,52,0,6.91,clear sky
346,Sakhipur,BD,24.3,90.1833,80.6,74,40,4.61,haze
